titleint,boxdom,boxint,boxtot
Edmond,"$131,719","$111,805","$243,524"
The Shining,"$45,332,952","$1,666,342","$46,999,294"
Hidden Figures,"$169,607,287","$66,617,906","$236,225,193"
Indiana Jones and the Raiders of the Lost Ark,"$248,159,971","$141,766,000","$389,925,971"
A Silent Voice: The Movie,"$644,391","$29,846,056","$30,490,447"
Once Upon a Time in America,"$5,321,508","$151,406","$5,472,914"
City Lights,"$19,181","$26,827","$46,008"
Pulp Fiction,"$107,928,762","$106,000,000","$213,928,762"
Prisoners,"$61,002,302","$61,124,385","$122,126,687"
The Elephant Man,"$26,010,864","$12,597","$26,023,461"
My Life as a Zucchini,"$309,766","$5,563,490","$5,873,256"
Gladiator,"$187,705,427","$277,659,118","$465,364,545"
The Dark Knight Rises,"$448,139,099","$633,003,513","$1,081,142,612"
Gone Girl,"$167,767,189","$201,563,174","$369,330,363"
Inglourious Basterds,"$120,540,719","$200,914,970","$321,455,689"
Song of the Sea,"$857,522","$3,333,362","$4,190,884"
Wonder,"$132,422,809","$173,517,797","$305,940,606"
Weathering with You,"$7,798,743","$185,663,603","$193,462,346"
The Truman Show,"$125,618,201","$138,500,000","$264,118,201"
Citizen Kane,"$1,585,634","$15,085","$1,600,719"
Raging Bull,"$23,383,987","$18,440","$23,402,427"
Back to the Future Part II,"$119,000,002","$213,500,000","$331,950,002"
Dead Poets Society,"$95,860,116","$140,000,000","$235,860,116"
Dances with Wolves,"$184,208,848","$240,000,000","$424,208,848"
It's a Wonderful Life,"$44,000","$6,140,298","$6,184,298"
Casino,"$42,512,375","$73,600,000","$116,112,375"
The Theory of Everything,"$35,893,537","$87,833,151","$123,726,688"
Into the Wild,"$18,354,356","$38,321,539","$56,675,895"
How to Train Your Dragon: The Hidden World,"$160,799,505","$363,584,144","$524,383,649"
Taxi Driver,"$28,262,574","$178,718","$28,441,292"
Inside Out,"$356,921,711","$501,149,639","$858,071,350"
Harry Potter and the Deathly Hallows: Part 2,"$381,409,310","$960,814,625","$1,342,223,936"
Dallas Buyers Club,"$27,298,285","$28,438,303","$55,736,588"
Heat,"$67,436,818","$120,000,000","$187,436,818"
Aladdin,"$355,559,216","$695,134,737","$1,050,693,953"
My Neighbor Totoro,"$2,250,213","$28,297,348","$30,547,561"
Castle in the Sky,"$523,664","$5,516,357","$6,040,021"
Howl's Moving Castle,"$5,576,743","$230,637,703","$236,214,446"
Toy Story 4,"$434,038,008","$639,356,585","$1,073,394,593"
The Sixth Sense,"$293,506,292","$379,300,000","$672,806,292"
The Insult,"$1,001,305","$2,600,298","$3,601,603"
Rain Man,"$172,825,435","$182,000,000","$354,825,435"
The Prestige,"$53,089,891","$56,586,420","$109,676,311"
E.T. the Extra-Terrestrial,"$435,110,554","$304,203,888","$792,910,554"
One Flew Over the Cuckoo's Nest,"$108,981,275","$16,354","$108,997,629"
The Imitation Game,"$91,125,683","$142,430,025","$233,555,708"
Your Name.,"$5,017,246","$352,968,841","$357,986,087"
The Lord of the Rings: The Return of the King,"$377,845,905","$764,611,082","$1,142,456,987"
The Shawshank Redemption,"$28,699,976","$117,315","$28,817,291"
"Three Billboards Outside Ebbing, Missouri","$54,513,740","$105,678,291","$160,192,031"
The Dark Knight,"$534,858,444","$471,115,201","$1,005,973,645"
The Godfather,"$134,966,411","$111,154,575","$246,120,986"
The Green Mile,"$136,801,374","$150,000,000","$286,801,374"
